Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known,Tranco
https://journeys.com,482,added,journeys.com,null,null,null,null,null,null,null,null,None,None,None,910
https://blogger.com,483,added,blogger.com,null,null,null,null,null,null,null,null,None,None,None,911
https://totalwine.com,487,added,totalwine.com,null,null,null,null,null,null,null,null,None,None,None,917
https://alaskaair.com,488,added,alaskaair.com,null,null,null,null,null,null,null,null,None,None,None,920
https://otterbox.com,493,added,otterbox.com,null,null,null,null,null,null,null,null,None,None,None,933
https://panerabread.com,494,not added,null,null,null,null,null,null,null,null,null,None,None,None,937
https://crutchfield.com,496,added,crutchfield.com,null,null,null,null,null,null,null,null,None,None,None,941
https://ninjajournalist.com,498,added,ninjajournalist.com,null,null,null,null,null,null,null,null,None,None,None,946
https://orientaltrading.com,500,added,orientaltrading.com,null,null,null,null,null,null,null,null,None,None,None,952
https://landandfarm.com,502,added,landandfarm.com,null,null,null,null,null,null,null,null,None,None,None,958
https://fingerhut.com,503,not added,null,null,null,null,null,null,null,null,null,None,None,None,965
https://summitracing.com,505,added,summitracing.com,null,null,null,null,null,null,null,null,None,None,None,969
https://fedex.com,506,added,fedex.com,null,null,null,null,null,null,null,null,None,None,None,971
https://calculator.net,509,added,calculator.net,null,null,null,null,null,null,null,null,None,None,None,977
https://fb.com,512,redirected,facebook.com,null,null,null,null,null,null,null,null,None,None,None,983
https://al.com,514,added,al.com,null,null,null,null,null,null,null,null,None,None,None,988
https://clickfunnels.com,519,added,clickfunnels.com,null,null,null,null,null,null,null,null,None,None,None,997
https://imgflip.com,523,added,imgflip.com,null,null,null,null,null,null,null,null,None,None,None,1009
https://thestranger.com,525,added,thestranger.com,null,null,null,null,null,null,null,null,None,None,None,1012
https://discounttiredirect.com,526,added,discounttiredirect.com,null,null,null,null,null,null,null,null,None,None,None,1015
https://draxe.com,528,added,draxe.com,null,null,null,null,null,null,null,null,None,None,None,1018
https://kingarthurflour.com,529,not added,null,null,null,null,null,null,null,null,null,None,None,None,1019
https://cookinglight.com,532,redirected,eatingwell.com,null,null,null,null,null,null,null,null,None,None,None,1022
https://jared.com,534,added,jared.com,null,null,null,null,null,null,null,null,None,None,None,1026
https://helpdesk.decipherinc.com,535,redirected,decipherinc.com,null,null,null,null,null,null,null,null,None,None,None,1027
https://lowes.com,537,added,lowes.com,null,null,null,null,null,null,null,null,None,None,None,1029
