Site URL,site_id,status,domain,uspapi_before_gpc,uspapi_after_gpc,usp_cookies_before_gpc,usp_cookies_after_gpc,OptanonConsent_before_gpc,OptanonConsent_after_gpc,gpp_before_gpc,gpp_after_gpc,decoded_gpp_before_gpc,decoded_gpp_after_gpc,Well-known
https://jetblue.com,382,added,jetblue.com,null,null,null,null,null,null,null,null,None,None,None
https://box.com,383,added,box.com,null,null,null,null,null,null,null,null,None,None,None
https://webstaurantstore.com,384,added,webstaurantstore.com,null,null,null,null,null,null,null,null,None,None,None
https://cinemark.com,385,added,cinemark.com,null,null,null,null,null,null,null,null,None,None,None
https://choicehotels.com,389,added,choicehotels.com,null,null,null,null,no_gpc,no_gpc,null,null,None,None,None
https://boscovs.com,390,added,boscovs.com,null,null,null,null,null,null,null,null,None,None,None
https://wizards.com,393,added,wizards.com,null,null,null,null,null,null,null,null,None,None,None
https://ancestry.com,394,added,ancestry.com,null,null,null,null,null,null,null,null,None,None,None
https://guitarcenter.com,395,added,guitarcenter.com,null,null,null,null,null,null,null,null,None,None,None
https://video.androidauthority.com,396,added,androidauthority.com,null,null,null,null,null,null,null,null,None,None,None
https://office.com,397,added,office.com,null,null,null,null,null,null,null,null,None,None,None
https://tripstodiscover.com,400,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://movoto.com,401,added,movoto.com,null,null,null,null,null,null,null,null,None,None,None
https://blackboard.com,404,not added,null,null,null,null,null,null,null,null,null,None,None,None
https://blog.4chan.org,407,added,4chan.org,null,null,null,null,null,null,null,null,None,None,None
https://kay.com,408,added,kay.com,null,null,null,null,null,null,null,null,None,None,None
https://dollargeneral.com,409,added,dollargeneral.com,null,null,null,null,null,null,null,null,None,None,None
https://abc12.com,410,added,abc12.com,null,null,null,null,null,null,null,null,None,None,None
https://songmeanings.com,412,added,songmeanings.com,null,null,null,null,null,null,null,null,None,None,None
https://boardgamegeek.com,415,added,boardgamegeek.com,null,null,null,null,null,null,null,null,None,None,None
https://wearemitu.com,416,added,wearemitu.com,null,null,null,null,null,null,null,null,None,None,None
https://chase.com,417,added,chase.com,null,null,null,null,null,null,null,null,None,None,None
